RIOT native interrupts/signals initialized.
RIOT native board initialized.
RIOT native hardware initialization complete.

main(): This is RIOT! (Version: 2023.01-devel-391-gf43eb-main)
Mode: ELECTRONIC CODEBOOK - 128 Bit, # of rounds: 1000
;Round;Encrypt(ms);Decrypt(ms)
;277;1;0
;278;0;0
;279;0;1
;280;1;0
;281;0;1
;282;0;0
;283;0;1
;284;1;0
;285;0;0
;286;0;0
;287;1;0
;288;1;0
;289;0;1
;290;1;0
;291;0;1
;292;1;0
;293;1;0
;294;0;0
;295;0;1
;296;0;0
;297;1;0
;298;0;0
;299;0;0
;300;1;0
;301;0;1
;302;1;0
;303;1;0
;304;0;1
;305;0;1
;306;0;1
;307;0;1
;308;0;1
;309;0;0
;310;1;0
;311;0;0
;312;1;0
;313;0;1
;314;0;1
;315;0;0
;316;1;0
;317;1;0
;318;0;0
;319;0;0
;320;0;0
;321;1;0
;322;0;1
;323;0;0
;324;0;1
;325;1;0
;326;1;0
;327;1;0
;328;1;0
;329;0;0
;330;0;1
;331;0;1
;332;0;1
;333;0;1
;334;0;1
;335;1;0
;336;1;0
;337;1;0
;338;1;0
;339;0;0
;340;1;0
;341;0;0
;342;0;0
;343;0;0
;344;0;0
;345;0;0
;346;0;0
;347;1;0
;348;0;1
;349;0;1
;350;0;1
;351;0;0
;352;1;0
;353;0;1
;354;0;0
;355;1;0
;356;1;0
;357;0;0
;358;0;1
;359;0;0
;360;0;1
;361;1;0
;362;1;0
;363;0;1
;364;0;0
;365;0;0
;366;1;0
;367;0;1
;368;0;0
;369;0;1
;370;0;0
;371;1;0
;372;1;0
;373;0;0
;374;1;0
;375;0;1
;376;1;0
;377;1;0
;378;1;0
;379;0;0
;380;1;0
;381;1;0
;382;1;0
;383;0;1
;384;1;0
;385;1;0
;386;0;1
;387;1;0
;388;0;0
;389;1;0
;390;0;1
;391;1;0
;392;0;0
;393;1;0
;394;0;1
;395;0;0
;396;0;0
;397;0;0
;398;1;0
;399;0;1
;400;1;0
;401;0;1
;402;1;0
;403;0;1
;404;0;1
;405;0;1
;406;0;1
;407;1;0
;408;0;1
;409;1;0
;410;0;0
;411;0;0
;412;1;0
;413;1;0
;414;0;1
;415;0;0
;416;1;0
;417;0;1
;418;0;1
;419;1;0
;420;1;0
;421;1;0
;422;0;0
;423;0;1
;424;0;0
;425;1;0
;426;1;0
;427;0;1
;428;0;1
;429;0;1
;430;0;1
;431;1;0
;432;0;0
;433;1;0
;434;0;0
;435;0;0
;436;1;0
;437;1;0
;438;0;0
;439;1;0
;440;0;0
;441;0;1
;442;0;1
;443;1;0
;444;1;0
;445;0;0
;446;1;0
;447;1;0
;448;0;1
;449;0;0
;450;0;1
;451;0;0
;452;1;0
;453;0;1
;454;1;0
;455;1;0
;456;1;0
;457;0;0
;458;1;0
;459;0;1
;460;1;0
;461;0;1
;462;1;0
;463;1;0
;464;1;0
;465;1;0
;466;1;0
;467;0;1
;468;0;0
;469;1;0
;470;1;0
;471;0;0
;472;1;0
;473;0;0
;474;0;0
;475;1;0
;476;0;1
;477;1;0
;478;0;1
;479;0;1
;480;0;1
;481;1;0
;482;0;0
;483;0;1
;484;1;0
;485;0;1
;486;1;0
;487;0;1
;488;0;1
;489;0;1
;490;0;1
;491;0;1
;492;0;0
;493;1;0
;494;0;1
;495;0;0
;496;0;1
;497;0;0
;498;0;1
;499;0;0
;500;0;0
;501;1;0
;502;0;1
;503;1;0
;504;0;1
;505;0;0
;506;0;1
;507;0;0
;508;1;0
;509;0;0
;510;0;0
;511;0;1
;512;1;0
;513;0;1
;514;1;0
;515;1;0
;516;1;0
;517;0;0
;518;1;0
;519;1;0
;520;0;1
;521;0;1
;522;1;0
;523;0;1
;524;1;0
;525;0;1
;526;0;1
;527;1;0
;528;0;1
;529;0;0
;530;1;0
;531;0;1
;532;0;0
;533;0;1
;534;1;0
;535;0;0
;536;0;1
;537;1;0
;538;0;1
;539;1;0
;540;0;1
;541;1;0
;542;0;1
;543;1;0
;544;0;1
;545;0;0
;546;0;1
;547;0;1
;548;0;1
;549;0;0
;550;1;0
;551;0;1
;552;1;0
;553;1;0
;554;1;0
;555;0;1
;556;0;0
;557;1;0
;558;1;0
;559;0;1
;560;0;0
;561;0;0
;562;0;1
;563;0;1
;564;0;1
;565;0;0
;566;0;1
;567;1;0
;568;0;1
;569;1;0
;570;0;0
;571;0;1
;572;0;1
;573;0;1
;574;1;0
;575;1;0
;576;1;0
;577;0;1
;578;0;0
;579;1;0
;580;0;0
;581;1;0
;582;0;0
;583;1;0
;584;0;0
;585;1;0
;586;0;0
;587;0;1
;588;0;1
;589;0;0
;590;1;0
;591;1;0
;592;0;1
;593;1;0
;594;0;1
;595;0;1
;596;0;1
;597;1;0
;598;0;0
;599;0;0
;600;1;0
;601;1;0
;602;0;0
;603;0;1
;604;0;1
;605;1;0
;606;0;1
;607;1;0
;608;1;0
;609;0;1
;610;1;0
;611;0;1
;612;0;1
;613;1;0
;614;0;0
;615;1;0
;616;1;0
;617;0;0
;618;0;1
;619;0;1
;620;0;1
;621;0;0
;622;1;0
;623;0;1
;624;0;1
;625;0;1
;626;0;1
;627;1;0
;628;0;0
;629;0;1
;630;0;0
;631;0;0
;632;1;0
;633;0;1
;634;0;0
;635;1;0
;636;0;1
;637;0;1
;638;0;1
;639;1;0
;640;0;0
;641;0;1
;642;0;1
;643;0;1
;644;1;0
;645;0;1
;646;1;0
;647;0;0
;648;0;1
;649;1;0
;650;0;1
;651;1;0
;652;0;1
;653;0;1
;654;1;0
;655;0;1
;656;0;1
;657;0;1
;658;0;1
;659;0;0
;660;0;0
;661;0;1
;662;0;0
;663;1;0
;664;0;1
;665;1;0
;666;1;0
;667;0;1
;668;0;1
;669;0;0
;670;0;1
;671;1;0
;672;0;1
;673;0;0
;674;0;0
;675;0;1
;676;1;0
;677;0;1
;678;0;1
;679;0;0
;680;0;1
;681;0;1
;682;0;0
;683;0;1
;684;1;0
;685;1;0
;686;0;0
;687;0;1
;688;1;0
;689;0;0
;690;0;1
;691;0;1
;692;1;0
;693;1;0
;694;0;1
;695;1;0
;696;0;0
;697;1;0
;698;1;0
;699;1;0
;700;0;0
;701;0;1
;702;1;0
;703;0;0
;704;1;0
;705;1;0
;706;0;1
;707;0;1
;708;1;0
;709;0;1
;710;1;0
;711;0;1
;712;0;1
;713;0;1
;714;1;0
;715;1;0
;716;0;1
;717;1;0
;718;0;1
;719;0;0
;720;0;1
;721;1;0
;722;0;1
;723;0;0
;724;1;0
;725;0;1
;726;1;0
;727;0;1
;728;1;0
;729;0;0
;730;0;0
;731;0;0
;732;1;0
;733;0;1
;734;0;1
;735;1;0
;736;0;1
;737;0;1
;738;1;0
;739;0;0
;740;0;1
;741;1;0
;742;0;1
;743;1;0
;744;0;1
;745;1;0
;746;0;1
;747;1;0
;748;0;0
;749;0;1
;750;1;0
;751;0;0
;752;0;1
;753;0;1
;754;0;1
;755;1;0
;756;1;0
;757;0;0
;758;0;1
;759;1;0
;760;0;1
;761;1;0
;762;1;0
;763;0;1
;764;0;1
;765;0;0
;766;0;1
;767;0;1
;768;1;0
;769;0;0
;770;1;0
;771;1;0
;772;1;0
;773;1;0
;774;0;1
;775;1;0
;776;0;0
;777;0;1
;778;0;1
;779;0;1
;780;1;0
;781;1;0
;782;0;0
;783;1;0
;784;0;0
;785;0;1
;786;0;1
;787;0;0
;788;1;0
;789;1;0
;790;0;0
;791;0;0
;792;0;1
;793;0;1
;794;0;1
;795;0;1
;796;0;1
;797;0;1
;798;0;1
;799;1;0
;800;1;0
;801;1;0
;802;0;0
;803;0;1
;804;1;0
;805;0;0
;806;0;1
;807;0;0
;808;0;1
;809;0;1
;810;0;1
;811;1;0
;812;0;0
;813;0;0
;814;0;0
;815;1;0
;816;0;0
;817;0;1
;818;0;1
;819;0;1
;820;1;0
;821;1;0
;822;1;0
;823;0;1
;824;1;0
;825;0;1
;826;0;0
;827;0;0
;828;0;1
;829;0;1
;830;1;0
;831;0;0
;832;0;1
;833;1;0
;834;0;0
;835;0;1
;836;1;0
;837;0;0
;838;1;0
;839;1;0
;840;1;0
;841;0;1
;842;0;1
;843;0;0
;844;0;0
;845;0;1
;846;0;0
;847;0;0
;848;0;0
;849;1;0
;850;1;0
;851;0;1
;852;0;0
;853;0;0
;854;0;1
;855;0;0
;856;0;1
;857;0;1
;858;0;1
;859;0;1
;860;0;0
;861;0;1
;862;0;1
;863;0;1
;864;0;1
;865;0;1
;866;1;0
;867;0;1
;868;0;26
;869;1;0
;870;1;0
;871;0;1
;872;1;0
;873;0;0
;874;0;0
;875;1;0
;876;0;1
;877;0;0
;878;1;0
;879;0;1
;880;0;1
;881;0;0
;882;0;1
;883;1;0
;884;0;0
;885;0;0
;886;0;0
;887;1;0
;888;0;1
;889;0;0
;890;1;0
;891;0;1
;892;1;0
;893;1;0
;894;0;1
;895;1;0
;896;0;1
;897;0;0
;898;1;0
;899;1;0
;900;1;0
;901;1;0
;902;1;0
;903;0;1
;904;0;1
;905;0;0
;906;0;1
;907;0;1
;908;0;1
;909;0;0
;910;1;0
;911;0;1
;912;0;0
;913;0;0
;914;0;1
;915;0;1
;916;0;0
;917;1;0
;918;1;0
;919;0;1
;920;0;1
;921;0;1
;922;0;1
;923;0;1
;924;0;1
;925;1;1
;926;0;1
;927;0;1
;928;0;1
;929;1;0
;930;1;0
;931;0;1
;932;0;1
;933;1;0
;934;1;0
;935;0;1
;936;0;0
;937;0;0
;938;1;0
;939;1;0
;940;0;1
;941;0;0
;942;0;0
;943;0;1
;944;0;1
;945;1;0
;946;0;1
;947;0;1
;948;1;0
;949;1;0
;950;1;0
;951;0;0
;952;0;0
;953;1;0
;954;0;1
;955;0;1
;956;1;0
;957;0;0
;958;0;0
;959;1;0
;960;0;0
;961;0;1
;962;0;0
;963;1;0
;964;0;1
;965;0;0
;966;0;1
;967;0;0
;968;1;0
;969;0;1
;970;1;0
;971;0;0
;972;0;1
;973;1;0
;974;0;1
;975;0;1
;976;0;0
;977;0;1
;978;0;0
;979;0;1
;980;1;0
;981;0;1
;982;0;1
;983;1;0
;984;1;0
;985;0;0
;986;0;0
;987;0;0
;988;1;0
;989;1;0
;990;0;1
;991;0;1
;992;1;0
;993;0;1
;994;1;0
;995;1;0
;996;0;1
;997;0;1
;998;1;0
;999;0;1
;1000;0;0
Benchmark done!
Mode: CIPHER BLOCKER CHAINING - 128 Bit, # of rounds: 1000
;Round;Encrypt(ms);Decrypt(ms)
;1;639;1130
;2;618;1065
;3;619;1065
;4;643;1061
;5;620;1066
;6;648;1060
;7;613;1063
;8;614;1090
;9;614;1073
;10;614;1105
;11;613;1064
;12;614;1095
;13;614;1061
;14;613;1068
;15;630;1061
;16;623;1073
;17;648;1110
;18;614;1060
;19;716;1063
;20;645;1102
;21;614;1093
;22;614;1071
;23;613;1086
;24;614;1067
;25;614;1156
;26;621;1064
;27;619;1115
;28;769;1093
;29;696;1121
;30;614;1064
;31;614;1143
;32;712;1108
;33;615;1074
;34;615;1064
;35;614;1096
;36;713;1066
;37;620;1103
;38;647;1063
;39;613;1063
;40;614;1093
;41;615;1073
;42;615;1085
;43;694;1062
;44;613;1117
;45;615;1061
;46;623;1061
;47;622;1063
;48;614;1069
;49;687;1072
;50;615;1063
;51;646;1068
;52;614;1077
;53;615;1145
;54;614;1162
;55;685;1128
;56;623;1064
;57;615;1114
;58;621;1058
;59;608;1146
;60;698;1800
;61;946;2340
;62;1005;2269
;63;1228;1540
;64;851;1442
;65;802;1674
;66;782;1661
;67;611;1443
;68;1292;1217
;69;643;1153
;70;612;1511
;71;863;1154
;72;545;1010
;73;839;1979
;74;1042;1229
;75;634;1075
;76;634;1062
;77;644;1061
;78;615;1061
;79;645;1060
;80;614;1061
;81;613;1157
;82;624;1127
;83;620;1189
;84;614;1061
;85;615;1100
;86;613;1070
;87;614;1183
;88;597;1002
;89;570;1067
;90;1057;1089
;91;555;1279
;92;745;1308
;93;587;1192
;94;593;1098
;95;575;931
;96;831;1079
;97;539;938
;98;685;933
;99;539;933
;100;539;1046
;101;870;1353
;102;543;1008
;103;539;937
;104;606;933
;105;714;1147
;106;1018;967
;107;540;946
;108;560;934
;109;648;1154
;110;540;945
;111;547;1212
;112;919;1500
;113;603;1158
;114;539;971
;115;538;1091
;116;539;947
;117;551;1079
;118;594;1033
;119;685;1064
;120;614;1073
;121;611;1072
;122;589;996
;123;676;1269
;124;540;1019
;125;545;1127
;126;540;965
;127;539;1052
;128;729;1009
;129;942;1078
;130;815;1316
;131;655;1037
;132;1033;1245
;133;705;981
;134;581;1081
;135;626;1102
;136;613;1216
;137;614;1062
;138;620;1095
;139;602;994
;140;561;1137
;141;539;946
;142;539;929
;143;609;992
;144;711;930
;145;658;1036
;146;539;1037
;147;641;1048
;148;540;931
;149;770;1000
;150;656;931
;151;544;931
;152;564;981
;153;539;932
;154;538;960
;155;588;1513
;156;866;963
;157;539;933
;158;581;930
;159;555;1140
;160;539;939
;161;539;1068
;162;539;937
;163;546;956
;164;734;966
;165;603;940
;166;629;1055
;167;539;930
;168;639;935
;169;539;974
;170;539;1065
;171;539;1001
;172;539;933
;173;539;1054
;174;539;1074
;175;884;1153
;176;545;934
;177;563;933
;178;753;1128
;179;539;959
;180;624;931
;181;582;932
;182;637;932
;183;815;939
;184;845;1064
;185;653;935
;186;794;932
;187;665;938
;188;553;978
;189;698;1053
;190;514;914
;191;589;888
;192;514;1242
;193;1083;1365
;194;514;1001
;195;514;890
;196;514;894
;197;568;1063
;198;514;1036
;199;514;1115
;200;683;1226
;201;586;1104
;202;518;1259
;203;685;946
;204;819;919
;205;546;888
;206;514;1438
;207;646;1131
;208;612;923
;209;514;997
;210;607;1136
;211;764;1501
;212;711;1118
;213;734;889
;214;513;1013
;215;514;1099
;216;520;910
;217;514;1117
;218;514;894
;219;575;1008
;220;514;1128
;221;564;1097
;222;898;971
;223;599;919
;224;519;889
;225;559;893
;226;514;985
;227;604;959
;228;514;912
;229;514;888
;230;544;1406
;231;1143;1048
;232;514;912
;233;514;1106
;234;717;930
;235;514;996
;236;514;888
;237;514;978
;238;515;887
;239;737;963
;240;907;1032
;241;608;993
;242;586;891
;243;514;939
;244;561;910
;245;514;1079
;246;519;956
;247;752;958
;248;514;972
;249;514;1400
;250;667;999
;251;570;917
;252;514;979
;253;514;895
;254;606;945
;255;514;888
;256;558;915
;257;640;1015
;258;514;1206
;259;514;1271
;260;956;1100
;261;514;888
;262;513;893
;263;514;963
;264;513;889
;265;513;916
;266;513;887
;267;570;888
;268;513;2325
;269;1193;1013
;270;517;1042
;271;514;906
;272;560;1216
;273;514;889
;274;539;893
;275;528;936
;276;589;1176
;277;872;891
;278;1002;1428
;279;887;1250
;280;872;930
;281;594;982
;282;593;1203
;283;599;1068
;284;692;1063
;285;650;1062
;286;682;1105
;287;614;1067
;288;614;1089
;289;619;1063
;290;626;1089
;291;629;1065
;292;614;1060
;293;638;1012
;294;685;1304
;295;980;1257
;296;713;1291
;297;582;926
;298;556;1371
;299;595;1260
;300;609;980
;301;539;979
;302;873;980
;303;565;1418
;304;543;932
;305;630;932
;306;539;932
;307;598;1105
;308;678;1042
;309;546;1065
;310;539;1173
;311;538;1191
;312;821;1255
;313;582;1066
;314;673;1063
;315;623;1142
;316;615;1069
;317;620;1062
;318;652;1069
;319;615;1067
;320;638;1061
;321;615;1117
;322;635;1121
;323;618;1070
;324;611;1088
;325;753;970
;326;539;987
;327;571;1077
;328;545;934
;329;678;1045
;330;539;1221
;331;549;1101
;332;793;969
;333;539;964
;334;588;1150
;335;669;963
;336;539;1063
;337;539;933
;338;604;933
;339;952;1174
;340;842;959
;341;543;938
;342;542;965
;343;722;1116
;344;538;1012
;345;544;938
;346;539;941
;347;622;932
;348;539;1198
;349;539;1111
;350;611;1138
;351;540;1026
;352;539;934
;353;545;1029
;354;561;1205
;355;654;935
;356;657;899
;357;668;981
;358;514;1095
;359;690;1082
;360;513;996
;361;515;887
;362;514;965
;363;734;890
;364;556;912
;365;515;1183
;366;866;1094
;367;514;983
;368;568;1338
;369;615;1170
;370;635;1032
;371;514;888
;372;688;1173
;373;696;890
;374;821;977
;375;515;913
;376;518;1037
;377;877;1451
;378;576;974
;379;514;889
;380;725;1067
;381;514;1226
;382;514;972
;383;514;925
;384;513;893
;385;514;913
;386;799;1241
;387;515;1112
;388;810;996
;389;514;891
;390;519;948
;391;520;1330
;392;610;890
;393;568;888
;394;573;913
;395;515;1145
;396;871;1048
;397;513;929
;398;514;1002
;399;620;1069
;400;867;970
;401;542;895
;402;514;890
;403;515;1289
;404;804;1494
;405;621;1222
;406;649;1075
;407;697;907
;408;665;1095
;409;601;1035
;410;1003;1196
;411;623;1041
;412;621;1061
;413;648;1185
;414;614;1061
;415;621;1090
;416;583;996
;417;570;963
;418;708;921
;419;514;894
;420;732;949
;421;843;1019
;422;513;1327
;423;776;1113
;424;773;1098
;425;514;1026
;426;514;1015
;427;776;1059
;428;518;948
;429;514;886
;430;607;904
;431;514;1254
;432;941;1746
;433;630;1098
;434;513;924
;435;1367;1737
;436;621;914
;437;606;941
;438;514;892
;439;537;1013
;440;755;1599
;441;582;1224
;442;566;891
;443;515;894
;444;514;957
;445;658;963
;446;520;1165
;447;514;979
;448;514;1139
;449;548;1514
;450;571;972
;451;514;888
;452;514;909
;453;768;1344
;454;514;995
;455;514;889
;456;514;887
;457;833;888
;458;756;888
;459;959;1374
;460;722;942
;461;781;1623
;462;669;1397
;463;1051;1262
;464;622;921
;465;514;890
;466;738;1424
;467;689;888
;468;557;1137
;469;513;893
;470;513;947
;471;995;931
;472;580;1077
;473;643;1099
;474;547;918
;475;740;1445
;476;646;1173
;477;601;924
;478;640;887
;479;649;1093
;480;638;888
;481;519;1084
;482;514;890
;483;513;890
;484;746;1391
;485;1018;1046
;486;514;890
;487;636;888
;488;633;970
;489;552;888
;490;549;1010
;491;514;893
;492;514;930
;493;519;1184
;494;515;1010
;495;668;1013
;496;796;1022
;497;552;970
;498;514;888
;499;625;913
;500;581;889
;501;513;888
;502;514;1069
;503;514;933
;504;589;957
;505;514;1231
;506;514;888
;507;514;988
;508;839;1204
;509;513;914
;510;514;932
;511;535;889
;512;1138;890
;513;574;997
;514;708;1045
;515;680;889
;516;642;893
;517;514;940
;518;573;1291
;519;772;981
;520;606;915
;521;560;888
;522;513;965
;523;996;1565
;524;514;988
;525;518;888
;526;583;887
;527;519;1192
;528;514;888
;529;514;976
;530;602;1277
;531;515;1021
;532;574;1434
;533;708;987
;534;665;893
;535;552;947
;536;598;1172
;537;528;893
;538;514;888
;539;514;937
;540;514;888
;541;596;1627
;542;1107;1135
;543;514;889
;544;514;888
;545;563;965
;546;1004;988
;547;519;1053
;548;693;893
;549;513;998
;550;592;1533
;551;768;1305
;552;809;1036
;553;648;991
;554;514;890
;555;688;1017
;556;574;1143
;557;515;889
;558;514;908
;559;514;1046
;560;546;1235
;561;522;940
;562;514;894
;563;538;893
;564;586;960
;565;762;1012
;566;514;889
;567;514;887
;568;643;1126
;569;514;1186
;570;968;1638
;571;1091;1008
;572;541;1128
;573;642;1533
;574;968;1291
;575;662;1335
;576;688;1041
;577;545;1468
;578;526;941
;579;602;1012
;580;567;1064
;581;597;1101
;582;597;1028
;583;585;983
;584;590;931
;585;839;908
;586;705;1044
;587;656;1178
;588;719;1110
;589;645;1105
;590;628;1090
;591;614;1099
;592;613;1092
;593;614;1060
;594;614;1092
;595;829;1242
;596;673;1116
;597;618;1068
;598;621;1056
;599;696;1140
;600;581;1146
;601;733;1434
;602;849;2430
;603;1005;1612
;604;1174;1067
;605;726;1111
;606;662;1400
;607;669;1304
;608;670;1196
;609;765;1152
;610;638;1132
;611;762;1266
;612;571;1014
;613;567;1254
;614;940;1008
;615;514;888
;616;549;1060
;617;995;1283
;618;935;929
;619;1019;1104
;620;559;887
;621;774;889
;622;515;933
;623;899;1239
;624;539;1068
;625;998;931
;626;553;1056
;627;539;1477
;628;539;940
;629;571;932
;630;538;941
;631;538;931
;632;809;935
;633;550;1092
;634;671;940
;635;591;936
;636;850;969
;637;729;1023
;638;652;1070
;639;588;937
;640;539;1143
;641;605;937
;642;539;1004
;643;805;1557
;644;580;1396
;645;677;1214
;646;546;963
;647;843;954
;648;558;1055
;649;710;958
;650;538;939
;651;561;978
;652;539;931
;653;538;956
;654;672;991
;655;762;1018
;656;683;1024
;657;539;939
;658;567;931
;659;628;1017
;660;539;962
;661;581;937
;662;539;1005
;663;539;1085
;664;696;1422
;665;539;1046
;666;539;930
;667;568;931
;668;676;993
;669;551;1025
;670;540;938
;671;539;932
;672;665;934
;673;796;1343
;674;729;1173
;675;691;930
;676;563;934
;677;540;931
;678;615;1137
;679;748;1024
;680;529;994
;681;577;890
;682;563;885
;683;657;1008
;684;518;1202
;685;667;887
;686;514;1124
;687;515;999
;688;513;1018
;689;514;981
;690;634;1134
;691;718;888
;692;625;1259
;693;1154;963
;694;657;887
;695;585;890
;696;513;1735
;697;513;888
;698;630;1065
;699;515;892
;700;515;960
;701;877;1498
;702;832;1060
;703;513;888
;704;654;887
;705;614;1259
;706;519;889
;707;681;892
;708;513;888
;709;560;995
;710;689;909
;711;904;1066
;712;883;1128
;713;545;889
;714;534;890
;715;555;952
;716;514;911
;717;514;937
;718;519;887
;719;537;888
;720;722;925
;721;906;976
;722;518;1019
;723;522;920
;724;643;1259
;725;514;1285
;726;513;893
;727;549;886
;728;539;1008
;729;514;1185
;730;847;1636
;731;552;1162
;732;894;889
;733;514;982
;734;598;1315
;735;758;1164
;736;529;911
;737;555;887
;738;513;1010
;739;963;1284
;740;519;888
;741;533;890
;742;514;955
;743;514;1456
;744;730;1081
;745;839;1127
;746;724;1136
;747;989;1298
;748;882;1159
;749;632;893
;750;609;888
;751;572;1181
;752;774;888
;753;551;1022
;754;552;887
;755;553;892
;756;1048;1889
;757;576;887
;758;514;887
;759;514;893
;760;638;1019
;761;587;965
;762;730;1022
;763;566;1143
;764;532;916
;765;753;1215
;766;561;985
;767;825;1120
;768;581;918
;769;514;1011
;770;654;892
;771;646;890
;772;515;950
;773;514;913
;774;701;1285
;775;710;1088
;776;518;889
;777;515;913
;778;514;1041
;779;1150;1076
;780;514;888
;781;512;888
;782;514;1056
;783;513;1087
;784;513;1341
;785;614;1091
;786;514;900
;787;514;893
;788;514;888
;789;526;1840
;790;661;1141
;791;514;955
;792;513;886
;793;537;1736
;794;514;889
;795;515;1011
;796;680;1600
;797;789;890
;798;519;893
;799;514;1046
;800;514;1272
;801;592;1047
;802;540;1343
;803;609;1037
;804;657;940
;805;514;892
;806;519;1399
;807;755;887
;808;514;1053
;809;515;892
;810;574;886
;811;583;1601
;812;1220;1505
;813;514;1041
;814;514;1058
;815;593;1206
;816;520;887
;817;682;888
;818;521;889
;819;514;1218
;820;654;1593
;821;1066;1614
;822;882;1213
;823;595;1097
;824;542;1040
;825;558;1032
;826;595;1061
;827;622;1081
;828;614;1112
;829;614;1069
;830;613;1131
;831;642;1066
;832;595;1099
;833;623;956
;834;548;966
;835;514;898
;836;606;893
;837;839;1147
;838;1028;1357
;839;668;927
;840;700;938
;841;729;1274
;842;774;1042
;843;553;1026
;844;581;1037
;845;599;1095
;846;763;1130
;847;539;933
;848;610;933
;849;538;933
;850;539;1040
;851;544;935
;852;539;1058
;853;567;1181
;854;645;930
;855;847;1318
;856;585;1231
;857;668;981
;858;539;940
;859;564;1124
;860;539;930
;861;539;958
;862;544;935
;863;540;932
;864;795;1167
;865;962;932
;866;567;933
;867;539;933
;868;568;1076
;869;636;1013
;870;540;1044
;871;587;932
;872;539;934
;873;576;1065
;874;548;943
;875;575;1118
;876;668;1084
;877;539;960
